序号,主题,标题,关键词,内容,标签
238,生活方式,身上的这块肌肉，让你看起来像“女壮士”吗？,三角肌;手臂;瑜伽;肩胛骨;手肘;肩膀,"求实务本    知行合一▽T R U E       Y O G A真正实用的瑜伽理疗知识分享平台你身上的这块肌肉使你似“女壮士”吗？MakeA  Decision
            女生的胳膊和肩膀，永远不应该是一个粗壮的存在。好看的胳膊，应该纤细匀称，线条流畅，没有很明显的肌肉块突起，当然也没有蝴蝶袖，手臂和肩膀的连接顺畅柔和，很柔美很优雅。
            而现实是除了拜拜肉，还有异常突出的肌肉块！肌肉！肌肉！肌肉！谈肌肉色变有没有！TRUE YOGA异常突出的肌肉是什么？这是一个相对来说比较冷门的部位少有人会关注此肌肉——三角肌三角肌位置的粗壮是困扰无数女性的形态问题
            三角肌俗称“虎头肌”，因为这个位置的粗壮，往往使肩膀看起来很强壮，变得又宽又厚，穿吊带背心总觉得肩膀显得像一个女战士。在瑜伽习练中，有时也会有因三角肌的发达而产生挤压感不舒适，如：下犬式等。TRUE YOGA三角肌发达的原因首先，我们需要了解三角肌最主要的作用，简单的说，就是让你的手臂抬起来。
            抬手臂的动作，在日常生活中随时随处可见，如：晾衣服、高处拿物品等。换言之，如果这个常见动作的发力不当，就会在日常行为中让三角肌渐渐粗壮起来。这就和走路姿势不正确，腿会变粗是一样的道理。虽然单次影响不大，甚至不会觉得有什么感觉，但日积月累，叠加的效果就会很明显。要明白身体的任何一个部位都是和相邻的一个或多个部位有合作的。
            所以，抬手臂，其实不仅仅是手臂的运动，还需要肩胛骨的参与。而由于各种因素，肌肉无力、发力不当等，使得在抬手臂时，肩胛骨处于不动的状态。一个同样的动作，如拿着某物，抬到同一个高度，可能本来由肩胛骨和手臂协同工作一起达到这个高度，而肩胛骨失去活动度之后，变成了手臂单独去抬到这个高度，因此，类似三角肌一个人做了两个人的工作。TRUE YOGA如何改善？我们需要做的，就是让该工作的工作，给过度劳动的肌肉减负，让肌肉回归正常的运动模式，这样才是处理问题的根本。当然，即使不觉得自己三角肌位置粗壮的，也可以练习，会让你的肩膀得到轻松感，同时预防三角肌位置变得粗壮。  拉伸背阔肌
            右手臂上举，曲手肘，掌心贴上背部，呼气，脊柱向左侧曲，感受右侧手臂、背部轻微拉伸；在此基础上再往左下方做扭转，加深拉伸感；40秒，左右两侧。  松解三角肌前束
            脊柱立直，双手外旋向后，自主发力向上抬向中间靠拢，保持30秒，注意不要推肋骨。  松解三角肌中束
            曲右手肘搭在对左肩上，固定右侧肩关节，做一个内收的动作，（可用另一手辅助）保持30秒。  松解三角肌后束
            曲右手肘在左大臂处，身体往内旋转一点，手臂自主发力，（可用另一手辅助）保持30秒。  松解三角肌止点
            右大臂正外侧中间部位找一个点，是三角肌粗隆，用手按揉，会有痛感；按揉一分钟左右，按完手臂会有轻松感。  绕肩
            脖颈中正，弯曲双手肘，手肘贴靠，最大幅度的往前伸，有点含胸，尽量保持手肘贴住，往上走到极限，不得不分开时往外往后扩展胸腔，再往后往下拉，每一个点都做到最大幅度，做到痛苦；此动作可以有效的打开肩周关节，做15次。TRUE YOGA这组练习通过恢复肩周关节的灵活度来达到瘦三角肌的目的通过练习能够感受到肩膀、手臂变轻松You May Also Like点“在看”给我一朵小黄花",T
239,生活方式,4种“草”，蚊子见了绕道走，家里随便养一盆，晚上不用点蚊香！,蚊子;蚊香;七里香;迷迭香;夜来香,"夏天是一个让人又喜欢又讨厌的季节，喜欢它是因为女生可以穿更多的漂亮衣服，令人讨厌的是蚊子也渐渐出现了，尤其是晚上睡觉的时候，蚊子在耳边嗡嗡作响，实在是招人烦，今天我们要说的是4种“草”，蚊子见了绕道走，家里随便养一盆，晚上不用点蚊香！
            1、夜来香。在房屋中繁殖一朵夜来香会散发出强烈的气味，但是如果经常闻到这种气味，我们可能会感到敏感，但是也有一大好处，蚊子闻到这种气味后会感到非常不舒服，并且会自动离开房间，可以说比蚊香的效果还要好。
            2、七里香。叶子非常漂亮，叶子的形状类似于豌豆，而“七里香”这个名字的由来恰恰是因为七里香本身散发出极浓烈的香气，在古代，文人把它放在自己的书下，这样七里香的叶子也可以防止蚊子的骚扰。
            3、迷迭香。是一种常绿灌木，易于维护和生活，当您遇到这些植物时，晚上的味道非常适合入睡，但它特别干燥，还可以帮助睡眠。迷迭香，常绿的叶子，被认为是永恒的象征。由于它散发出的香气，可以驱除蚊子，迷迭香的干叶可以制成茶和饮料，促进血液循环，增强记忆力。
            4、薄荷。也是“蚊子”不喜欢的花草，绿色的叶子，淡淡的香气，清新而醒目！同时，薄荷散发出的薄荷味也对蚊子有一定的驱动作用。",F
2310,生活方式,女生若想摆脱“水桶腰”，这4物餐桌上常吃，或能拥有“小蛮腰”,小蛮腰;水桶腰;柠檬,"女性朋友对于美丽的追求可以说是永无止境的，这一点不光是展现在我们的脸上，很多时候对于我们身材的保持我们也是下了不少的功夫的。今天小编要说的就是，女生若想摆脱“水桶腰”，这4物餐桌上常吃，或能拥有“小蛮腰”！
            1.柠檬柠檬中含有大量的柠檬酸仓库，其可以很好的美容养颜，帮助我们拥有良好的身材。不过柠檬实在是太酸了，是不能直接食用，但是相应呢我们可以把柠檬泡成水来饮用，或能拥有“小蛮腰”。
            2.手指胡萝卜这种胡萝卜干，因为它的大小只有手指般，所以许多人就称呼它为“手指胡萝卜”，这是一种进口零食，所以价格有些贵，但它吃起来的口感有很香浓的胡萝卜味，含有丰富的胡萝卜素，能帮助燃烧脂肪，女生餐桌上常吃，或能拥有“小蛮腰”。
            3.紫薯大家都清楚红薯本身就是食物界中有名的减肥圣品，它能帮助人们排除肠道垃圾，让代谢更加顺畅，减少热量的堆积，所以选择红薯是可以瘦身的，但小编今天要推荐紫薯，因为紫薯本身的营养价值要比红薯高，也具有红薯一样的特质，那么完全可以当做减肥餐来吃，或能拥有“小蛮腰”。
            4.冬瓜对于身体肥胖的女生来说，不妨可以多吃一些冬瓜或者是喝一些冬瓜汤，它的热量是比较低的，在你食用之后并不会出现肥胖的情况，并且冬瓜属于低钠高钾的蔬菜，对于身体的浮肿也有着很好的消肿作用，或能拥有“小蛮腰”。以上就是小编要说的，女生若想摆脱“水桶腰”，柠檬，手指胡萝卜，紫薯，冬瓜这4物餐桌上常吃，或能拥有“小蛮腰”！",F
2311,生活方式,气温逐渐升高，蟹爪兰、长寿花不敢开花准备休眠，这样做才正确,蟹爪兰;长寿花;植株;花卉;盆栽,"气温逐渐升高，蟹爪兰、长寿花不敢开花准备休眠，这样做才正确据天气预报显示，夏天是真的来了，最近连续几天的温度都远高于之前的水平线。北方是这样，南方的情况更是如此，那天小花在车里就听到了一则新闻，现下福州那边的气温已经直逼30摄氏度，其他的南方地区即使不如福州，也不会相去甚远。
            一旦进入夏天，花卉的养护自当展开新的阶段，“耐热”植物继续养殖于阳台、“喜阴”花卉遮光养殖，“休眠”植物……
            这三种情况中，于夏天开始休眠的植物最为特殊，生活中比较常见的有长寿花和蟹爪兰两种。面对日益升温的天气，它们究竟该怎样养护才可保证顺利“活”过夏天？
            第一种，长寿花。作为有名的“年宵花”，其最佳的生长季节是春天，断断续续开放到夏天后，植株们便会通过休眠的方式来“休养生息”，为下一次花期的到来做好准备。在这期间，也就是夏天，家中要养殖长寿花的朋友务必注意好这样几个方面。
            首先，土壤。一般肉根植物对土壤通风性和排水性的要求会更高一些，普通的园艺用土结块的概率较大，一年里需要换盆换土一到两次。如果怕麻烦，大家可以在栽种长寿花的时候直接使用各方面性能优良的腐殖土。既拥有充足的肥力又不怎么容易板结，两全其美。
            其次，光照。由于这时候的长寿花正处在休眠阶段，整个的“生理机能”并未像往常一样“工作”，所以各方面的耐受性都不高。若是家里的阳台朝向并非向南，光照就还不算太强，大家于阳台上找一处遮光些的位置把盆栽移过去，让它们慢慢适应新的生长环境。相反，“南阳台”则必须专门拉起“遮光网”，不然强烈的光照会灼伤植株。
            第二种，蟹爪兰。和长寿花的情况一样，夏天也并非蟹爪兰的生长期，此时的植株叶片多半变得蔫软，随意的耷拉在枝头，轻轻捏一下叶片，质感立马“高下可见”，种种现象标志着蟹爪兰进入了“休眠期”。处在这种状态下的植株，养护时首先要把盆栽搬去通风、又阴凉的环境。
            一旦确定好合适的位置后，就不要再随意挪动了，此时植株的恢复速度不快，频繁的改变位置很难让它们进入“状态”。为了植株可以尽快服盆，大家平时还要注意“控水”、“控肥”，实在缺水就用喷洒水雾的方式保湿。",F
2312,生活方式,众筹199元！小米生态链又发新品！一分钟三万转！运动达人的最爱,料理机;豆浆,"很多人都想过买个料理机或者搅拌机，但一般来说都逃不掉吃灰的命运，其实笔者家里也有个个头较大的料理机，带加热功能，但总共用了不超过五次，后来想了想为何一直花了近千元到最后还是逃不过吃灰的尴尬呢？其实个人认为最大的问题还是在于难以清理，有时候做个果汁，打完了之后清理起来很不方便，尤其是搅拌杯里面的刀头不能卸下来，清理起来比较费劲，所以用一次之后新鲜劲过了就不想再用了。
            
            不过，最近在小米有品上又种草了一个小型的料理机，相比笔者之前用过那个功能强大价格也昂贵的料理机，这款料理机有几个很有意思的功能是我种草的原因，一起和大家聊下吧。这款产品是品罗Pinlo搅拌料理机Pro，后面带了Pro那肯定有普通版，查了查，品罗之前出过一个普通版的料理机，功能基本上相似，但是Pro版在质感、电机性能、刀头、机身以及杯槽等方面进行了升级，看起来更为高档一些。
            品罗搅拌料理机Pro有基础款和套装款两种，两者的区别就是左边的研磨杯，普通款是没有的，所以考虑到以后会用到研磨一些中药、藤椒、辣椒甚至冰块之类的，多花点钱一部到位还是很有必要的。
            
            这个研磨杯应该是用了高强度的加厚玻璃，拿起来很厚实，上面标注的是可以研磨一些五谷杂粮，但是对于不能打石燕、石莲子、石磁这些像石头一样坚硬的药材，但是打一些冰块等其他东西还是没有问题的。
            
            品罗搅拌料理机Pro的杯盖、刀头以及杯体是可以分开的，甚至连密封圈也是可以拆卸的，所以清理起来就非常方便了，基本上用水一冲就能搞定。另外杯体和料理机的主体是分离的，每次用完仅仅清洗杯体就可以了。
            
            
            
            
            同样的还有这个用来打果汁的杯子，它是带了一个便携式的运动杯盖，可以单手打开，而且杯体外面还有一层厚厚的硅胶套，方便外出携带。
            
            
            这个搅拌刀是加入了镀钛工艺，硬度提升的同时也增加了很强的腐蚀性，尤其是在橙汁类食材（ph3.0)的抗腐蚀能力可提高50%，另外刀片数量也是从普通的4片增加到了6片，方向不同，搅拌也更均匀、细腻。
            
            品罗拌料理机Pro附带了食谱，这个7天食谱是根据营养大师结合减肥运动认识的饮食需求推荐的，整体看了看里面有些食材确实没有见过，不过要想买的话也很简单，网购能够解决。
            
            再说下个人的使用感受吧，先用研磨杯打了几个食材，首先是大米，听家里的老人说把大米用锅炒熟泡水喝可以去湿气，对身体很好，我想着如果能把炒熟的大米打成碎末然后泡水可能会更好一些，然后就用生大米试了试。
            
            打完之后整体还是可以的，这样以后放到一个干净的杯子里，随用随着冲着喝就可以了，另外也可以与其他水果等放到一起，还是很不错的。
            然后我又试了藤椒，这个是做水煮鱼或者水煮肉片经常用到的材料，以前都是在出锅后用热油直接浇到藤椒上，但是并不是很出味，如果打碎之后，再使用会更好一些，所以有了这个之后，在家自己弄个五香粉也是很轻松的。
            
            这个是辣椒面，这个辣椒是当时去四川出差买回来的，不得不说四川的辣椒确实不一样，一个是辣，再一个就是味道很正，所以就想着把辣椒打成辣椒面然后做个辣椒油也是不错的。
            除此之外，这个研磨杯其实还是可以搅拌肉泥、碎冰等其他食材。另外还可以打一些中药材以及中药颗粒，有时候医院开的中药颗粒是很多小袋子，一天喝两三次很不方便，如果用研磨杯的话，可以很好的把一天的中药颗粒混合到一起，随喝随冲还是很方便的。
            
            大的杯子用处可就多了，对于我来说，其实除了打一些果汁之外，用处最大的是早上可以做豆浆，方法也很简单：提前把一周的大豆或黑豆泡好，一般泡一晚上就行；把泡好的豆子煮上半个小时煮熟，晾凉；取适当煮熟的大豆（也可放点大枣、芝麻、枸杞等），加上开水然后打磨，几分钟就能做好一杯豆浆。剩下的豆子放到保鲜袋随吃随用。这个对于上班族来说还是很实用的，早上打上一杯豆浆，来不及喝也可以带着去公司喝，还是很方便的。
            个人认为选择这种料理机或者研磨机：一个是不要买太贵的，比如我之前买的那个近1000元的用了两次就吃灰了，不适用；再一个不要买那种几十块钱的，一个是功能单一，再一个用料和整体的做工质量还是差一些。所以，像品罗Pinlo搅拌料理机Pro这种价位在200多的料理机，功能、质量、质感等还是很均衡的，用起来也比较舒心，另外还能提高生活品质，整体是一款很值得购买的一个产品。",F
2313,生活方式,“母亲之花”康乃馨，换盆缓苗操作好，一年爆盆，开花上百朵,康乃馨;爆盆;缓苗,"母亲之花”康乃馨，换盆缓苗操作好，一年爆盆，开花上百朵康乃馨是母亲之花，它是石竹的一个变种，但是它也属于石竹，它的养护非常的简单，而且耐寒又耐旱，开花性能非常的强，如果养护得当，四季开花都是有可能的，我们买到的康乃馨都是带着简易盆小盆的，要及时给他换盆，换一个大一点的盆，让它快速的生长和开花就行了，换盆伤根必然会出现打蔫的情况，必然会出现干花苞的情况，这是很正常的，只要缓苗得当就行了，康乃馨应该怎么换盆？怎么缓苗呢？今天来说一下。
            我们买到的都是那种简易盆的，盆不是很大，换盆的话尽可能比原来的盆大一号就可以了，康乃馨不要用高盆，用浅一点的盆才是最合适的，不容易淤积烂根，我们换盆的时候把它从花盆里拿出来检查一下四周的根系，如果根系长满盆了，我们用手去扒拉一下底部的根和周边的根，让它松散一下，之后再栽种，因为康乃馨是草本植物，扒拉根系不会有太严重的损伤，这样扒拉了以后，能够有利于它的根系和新的土壤快速的结合。
            配土的话一定要配置透气性好一些的土壤，建议大家用透气性好的营养土多加点珍珠岩，这样就没有问题，直接给它栽种上浇透水，浇水别忘了加点杀菌剂，多菌灵或者是代森锰锌，再给它加上点生根液，能够促进它快速的长根。直接浇透了以后不要放到太阳底下去，光照太强，根系受损，严重消耗，必然会出现干叶干花苞的情况，我们要做的是把它放在一个散光通风好的地方去缓苗。保证良好的通风，见散射的光照，不要给它施肥，大约缓一周左右的时间，我们会发现它正常的生长和开花了，我们逐渐的给它增加光照，看着长势比较快了以后，再去给它补充肥料就可以了。
            康乃馨非常非常的好养，小齐地栽的那些，一年的时间不到就彻底的长爆了，非常的厉害，而且一次开花能够开出几百上千朵花来，我们平常养它的话，把它放到光照最充足的地方去，盆土土表干了及时的给它浇透水，肥料定期定量的给它用，因为它一直长一直开花，尽可能选择磷元素含量高，其他元素也不缺失的，比如花多多的二号，一个月2~3次，这样去养基本上就不会出现问题，如果您是养花新手，可以选择康乃馨，放在家中很容易就能够爆盆，一年四季都能够有花看，只要我们养护的环境温度不低于10度就可以了，当然了，它温度低于零度也不会死掉，叶片一只常绿，但是会停止生长。
            ",T
2314,家居,多肉，除了在花盆里，其它地方都能活，要“虐养”，才能出状态,多肉;花盆;营养土,"多肉已经成了生活中的一部分了，早上起床先去看看多肉，晚上下班回家第一件事也是去阳台瞅一眼，无知不觉，多肉已经融入到生活里，真不知道多肉的魅力到底在哪里。
            养出一盆色泽好看，株形完美的多肉并不容易，多肉表面看起来很娇贵的样子，实际上的多肉是最皮实的，只要人工少干预，它就能长的非常好，人工干预的过多，那么你养的多肉一定不是很好，或者是经常能养死。
            养多肉的精髓在于“随便”，随便浇水，随便施肥，不能太过于认真，好土好水伺候着，说不定哪一天就完蛋了，多肉就是这么不争气，多肉养不好的原因就出在对它实在是太好了。
            身边好多花友都说，多肉除了在盆里活不了，其它的地方都能活，不用浇水也能长的棒棒的，这就是温度所在了，养多肉切记不能对它太好了，“虐养”出来的多肉长势会更好一些，应该怎么去虐养呢？从3方面开始做起。
            1，多晒太阳少浇水：“多晒太阳少浇水”做好这句话，多肉就不会死，不信可以试一试，多肉植物除了玉露，玉寿，万象以外的品种多晒太阳是很有好处的，能帮助多肉更好的生根上色，多肉根系长的旺，黑腐，化水的问题就很少了。
            2，杜绝营养土，改换颗粒土：养多肉，好多花友都会选择用“营养土”，所谓的营养土价格也不是很低，养个三五盆还好，养的多了，花土也会花费很大一部分资金，不是很值得，这是其一，温室大棚里培育的多肉都是用的半颗粒土，没有用营养土的。颗粒土的好处：对一些养多肉的小白来说，对颗粒土并不是很了解，在原有营养土的基础上，加入了一半的小颗粒，蛭石，珍珠岩，或者赤玉土等等，浇水不容易板结，水分透彻的均匀，土壤不会有积水不潮湿，养多肉最适合。
            3，用小盆，少施肥：多肉的株形原本就很小，小到拇指大，大到巴掌大，切记不要用太多的肥料，一年追加3次就足够了，小型的多肉可用可不用，用好肥，不要用劣质肥料，肥料的好坏直接影响到多肉的长势，肥料在精不在量。
            栽种多肉切记，不要用大盆，花盆不要太大，花盆盆口的直径跟多肉的大小差不多最好，也不要太深了，容易积水，积肥，对多肉生长不好。从这最基础的3点入手，前期做好普遍，后期根本不需要花费太多的时间，你养的多肉照样能一个好的状态。",T
2315,生活方式,从小鲫鱼中还能钓大板鲫？钓鱼老前辈的方法果然一试就灵，佩服！,钓鱼;小鲫鱼;饵料;野钓;鲫鱼,"可能十个钓鱼人有九个会发现，自从天气变热之后，钓上来的鲫鱼只有手指头那么大，几乎很少碰到大板鲫了，那到底是什么原因呢？是饵料不对还是没选好钓位？俗话说得好：“姜还是老的辣”，就在前两天，我就见到一位钓鱼老者，一手握的是十几块钱的玻璃钢鱼竿，一手就在装饵料，从远处一看，此人绝非等闲之辈！
            说实话，刚开始我以为他没钓什么，毕竟很少见到他扬竿刺鱼，不过走近一看鱼护，简直是被打脸了，人家一条大板鲫比我四五条小鲫鱼还要大。看看它的钓法也没啥特别，不过后来我才想明白，原来这位大爷没有采取主动进攻，连漂都没有调，而是采用“等鱼上钩”的被动式钓法。第一招：传统重铅钓钝正因为大爷连漂都没有调，直接重铅到底，所以一般的小鲫鱼很难拉动整个线组，浮漂自然也就没有杂乱无章的漂相了，想想这传统钓法也有很多好处，比如用来对抗“杂鱼”就是不错的选择，而且凡是出现顶漂，黑漂，移漂等各种大动作的漂相都可以扬竿，并且一钓一个准。
            第二招：换用颗粒饵料当然也不是说，只要用了传统钓法就可以钓到大板鲫，毕竟钓鱼是一项综合性很强的户外运动，无论是选位还是用饵都有一定的讲究。不过一般而言，夏季野钓大板鲫，选用的都是一些谷物清香类的饵料，比如玉米，麦粒，酒米，米饭粒等等天然饵料。因为这些饵料，入水之后并没有雾化，自然也就不会招来杂鱼的袭击了，第二，它们的耐泡性很强，不需要时时刻刻换饵料，所以钓鱼老者的上鱼率才这么高。
            第三招：调整作钓时间虽然这位老者选择的是白天作钓，可我觉得要想钓过瘾，尽量还是要选择夜钓的模式，毕竟气温低一些，小鲫鱼的闹钩情况也会少一些，因为晚上比较凉爽，水温低，鱼都会游到浅水边觅食，运气好的话还有可能钓上鲤鱼呢！
            综上所讲述的正是：在户外野钓的过程中，如何从小鲫鱼中垂钓大板鲫的方法方式，当然如果你对此有不同的观点或看法，也还请多多指教与提醒！",T
2316,生活方式,日本人的一日三餐，看完就明白，为何日本胖子是世界最少,日本人;日本;减肥;火锅;牛肉,"说实话我本人是不怎么喜欢日本的，大家也别来跟我杠哦，每个人都有自己的观点，希望小伙伴们能够尊重一下我的想法。不过我还是要说我挺羡慕日本人的，虽然他们那个身高确实不够看，但人家苗条啊，每次看到日本女孩的腿，再看看我的腿，我真的要哭了，为什么差别如此大呢？这真的对我极不公平。今天我就带大家来了解一下，为什么日本人这么瘦吧。
            日本人吃的食物真的是很清淡，反正我觉得我肯定是吃不下去他们的食物的，因为我自己是一个偏好重口味的小吃货。你会发现日本人的饮食里面基本上看不到油，大家都知道吃过于油腻的食物那个体重长得很快。所以说这也是为什么日本人不长肉的原因之一。
            很多小伙伴在减肥的时候会吃鱼，因为鱼肉吃了不容易长胖。众所周知，日本人就是非常偏好鱼，感觉他们随时随地走在吃鱼，而且他们的鱼味道很淡，不像我们吃的鱼，一定要又辣又油，现在你知道为什么我们中国胖胖多了吧。
            当然日本人也喜欢吃牛肉，牛肉也是减肥的一个重要食物，所以说大家要想瘦下来还是少吃猪肉，多吃鱼或者是牛肉。你会发现日本人吃得最好的就是早餐，他们的午餐一般就是普通的事物，哪像我们，我们中午全部都是大鱼大肉，我们的身体真的会受不了。
            减肥的小伙伴都知道，一般早上吃好一点是最好，大家午餐千万不要吃得太多，不然身体会很快胖起来。日本人的晚餐也是汤汤水水十分清淡，我们的晚餐一般就是火锅这些，那我们不长肉谁长肉呢？难道日本人长肉吗？说句实话，变成胖子绝对不是一两天的事情，它和我们的饮食是有关系的，所以我们平时还是要注意一下自己的吃食，千万不要吃得太油腻，真的对身体不好，减肥的小姐姐吃得过于油腻，那就不用再减肥了。
            你会发现我们平时的火锅全部都是油，但日本人的火锅就是清汤，很多中国人觉得清汤火锅没有味道，它不是火锅的灵魂。你们这么想没有错，但红汤火锅对身体不好，我情愿吃没有油的食物，也不愿意吃太油的东西，反正就我个人而言，我是要注意自己的身材",T
2318,生活方式,瑜伽圈流行“开髋”，如何安全“开髋”？10分钟全掌握,瑜伽;髋关节;髋部,"其实许多人进行“开髋”的练习，都是为了解决髋部紧张的问题，因为这种紧张不仅会限制我们体式的习练，还会导致日常生活的不适。”一提到开髋，很多人都能想到俯卧鸽子式、束脚式、坐角式等体式。但其实开髋并没有我们想象中这么简单。今天就同大家一起学习髋关节的知识点，如何才能做到正确的开髋了？
            01髋关节对我们有多重要？
            髋关节处于髋部软组织深部，周围有许多强大的肌群附着，是躯干和双下肢连接的枢纽，人体非常重要的一个关节。身体的重量都通过双侧髋关节向下传导。因而髋关节一旦出现问题，会对个体的活动产生极大的影响。02开髋，开的到底是什么？骨骼是无法改变形态的；一般而言，韧带也不能过多地拉伸。那么在进入开髋的体式中我们更多伸展的是肌肉和经络的疏通。03髋关节6种运作模式
            髋关节有6种运动模式：前屈，后伸，内展，内收，外旋，内旋。下面和瑜伽蜜语小蜜一起去具体了解，哪些瑜伽体式对应这6种运动模式。1、髋关节前屈
            坐立前屈式在运动中，稳定骨盆平衡、髋关节的屈曲使你的腿向前迈。保证髋关节前屈灵活性，屈髋肌群才得以在走路、跑步、跳跃中将腿向前迈进。2、髋关节后伸
            骆驼式后伸作用：在运动中，髋关节充分的伸展对身体向前推进起着重要作用。——保证髋关节后伸灵活性，才能保证屈髋肌群发挥作用。3、髋关节外旋
            束脚式内旋外旋作用：在负重时，内旋肌群与外旋肌群共同维持髋关节的稳定。4、髋关节内旋
            鸟王式内旋外旋作用：在负重时，内旋肌群与外旋肌群共同维持髋关节的稳定。5、髋关节外展
            坐角式外展作用：在运动中起将腿拉离身体中线，在负重时，维持髋关节和膝关节的稳定。双腿站立时，内收与外展肌共同维持骨盆稳定。6、髋关节内收
            简易扭转内收作用：在运动中起将腿拉向身体中线，在负重时，维持髋关节和膝关节的稳定。
            在练习时这6个方向又分为3组，每一组正好是一对相反的2个方向。我们在每一次开髋练习时，你可以选择某一组为主题，也可以选择两组或者全方位开髋为主题。只要开髋，必须是成对的练习，不能只练习一组中的某一个方向，这样才能保证平衡开髋，安全开髋。03不当的开髋练习有什么后果？医学领域里关于髋关节的解剖、生理、病理的知识研究实现了很大的发展，但是瑜伽领域里关于髋部的健康安全的知识却未能同步。许多习练者认为‘只要拉开紧张的髋部’就能帮助他们进入特定瑜伽体式，却没有意识到其实是骨骼和结构的特质阻止了他们进入特定的体式，且在临近关节动作的极限值时，普通人（除非是精英运动员）是无法将自己很好地稳定在体式之中的，在这种情况下，关节囊、韧带和软骨，包括骨头结构就将承受过多负荷。
            对于任何存在髋关节不稳定，或是关节过度灵活及髋关节发育不良的人而言，过度开髋练习都存在很高风险。特别是在不考虑髋关节形态的情况下，进行无穷无尽的非对称的经典‘开髋体式’，会加剧现有的髋关节、腰背、骶骨、髂骨或骨盆问题，甚至是导致一些以前没有的新问题。”
            “从一个人髋部疼痛开始到其接受诊断，平均需要2.6年的时间。”这也意味着许多人在髋部开始出现问题之后，会不加重视，甚至继续习练，继而引发更严重的问题。所以在选择开髋时一定要慎重，对自己的身体状况必须有详细的了解与把握，以免对身体造成意外的损伤。03关于开髋，瑜伽老师应该怎么做？瑜伽课堂中，老师的口头指令和手动调整，对于学员真正掌握习练的要领都是非常重要的。每个学员能拉伸的程度都是不一样的，老师尽量不要让学员过度的进行拉伸运动。
            其次，要注意课程进行的过程中不要专注于让学生达到“完美体式”的极限运动范围，而是始终保持髋关节运动的节制；另外也要避免在体式中调整学员的髋部，这也意味着不要强迫或“帮助”学员在体式中让膝盖或脊柱进入极限运动范围。03“快乐髋部”黄金原则Garner博士提出了瑜伽体式习练中，培养一个“快乐的髋部”的3条黄金原则：1. 学习节制，不要过度地习练经典“开髋体式”。这一术语已经被用烂了，坦白地说，它们也可能会令你的髋部感到疲惫，甚至退化；2. 改变日常的习练习惯，重复性压力会造成关节过度使用伤害，而且会导致身体的力量、耐性停滞不前；3. 温柔地对待身体，瑜伽需要个人化以满足个人需求，一个能够很好地满足所有瑜伽习练者的前提是接受稳定第一、灵活其次的方针，稳定性应该是任何瑜伽课堂的首要目标。-END-",F
